Market,Facility,Sales Order #,Work Order #,Customer Reference Number,Alternate Reference Number,Booked Date,Sales Order Status,Work Order Status,Operational Status,Scheduling Status,Receiving Status,Work Order Hold Type,Status Updated Date,Order Category,Original Scheduled Date,Scheduled Date,Deliver By Date,Sales Order ClosedDate,Work Order ClosedDate,Days to First Call,Days to Schedule,Courtesy Call Date,First Schedule Attempt,First Offered Date,Last Call Date,First Schedule Date,Rescheduled Date,Scheduling Attempts,Not At Home Exception,Weather Exception,Refused Exception,Stop Exception,Item Exception,Base Services,Service Windows,Customer City,Customer State,CustomerZip,Customer loc Lattitude,Avg Miles Per Order
LMH Elizabeth,LAST MILE HUB ELIZABETH,000005SNRQ7BE000002000,000005SNRQ950000004000,1000025026-WO,n/a,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/26/2021,Service Only,3/26/2021,3/26/2021,3/26/2021,3/26/2021,3/26/2021,,,,,3/20/2021,,,3/26/2021,3,,,,,,Assembly Only,10:00:00 - 14:00:00,GLEN RIDGE,NJ,07028,40.8129051000,34.47
LMH Los Angeles,LAST MILE HUB LOS ANGELES,000005R49CEJ2000004000,000005R49CGG2000002000,TONAL1000120243,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/11/2021,Service Only,3/11/2021,3/11/2021,3/11/2021,3/11/2021,3/11/2021,,,,,3/15/2021,,,3/11/2021,,,,,,,Service Call,09:00:00 - 13:00:00,GLENDALE,CA,91214,34.2439690000,20.6
LMH Los Angeles,LAST MILE HUB LOS ANGELES,000005S8AEFM2000006000,000005S8AEHNQ000002000,1000120243-WO,n/a,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/22/2021,Service Only,3/22/2021,3/22/2021,3/22/2021,3/22/2021,3/22/2021,,,,,3/22/2021,,,3/22/2021,2,,,,"Out of Time Window,",,Service Call,13:00:00 - 17:00:00,GLENDALE,CA,91214,34.2439690000,20.6
LMH Ontario,LAST MILE HUB ONTARIO,000005VRSLMDE000002000,000005VRSLOAK000004000,1000211728-Relo,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/14/2021,Service Only,4/14/2021,4/14/2021,4/14/2021,4/14/2021,4/14/2021,,,,,4/14/2021,,,4/14/2021,1,,,,,,Assembly Only,10:00:00 - 14:00:00,GLENDORA,CA,91740,34.1105143000,23.93
LMH Dallas,LAST MILE HUB DALLAS,000005RKU95FC000004000,000005RKU97BA000002000,1000195362-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/18/2021,Service Only,3/18/2021,3/18/2021,3/18/2021,3/18/2021,3/18/2021,,,,,3/18/2021,,,3/18/2021,,,,,,,Assembly Only,08:00:00 - 12:00:00,GODLEY,TX,76044,32.4209280000,50.97
LMH Birmingham,LAST MILE HUB BIRMINGHAM,000005N7G9BK2000006000,000005N7G9E4K000004000,TONAL1000111718-REINSTALL,1000111718,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/21/2021,Service Only,2/16/2021,2/20/2021,2/20/2021,2/21/2021,2/20/2021,,,,,,,,2/20/2021,1,,,,"Out of Time Window,",,Assembly Only,14:00:00 - 18:00:00,GRANT,AL,35747,34.5251443000,111
LMH Washington,LAST MILE HUB WASHINGTON,000005VKIAGKG000004000,000005VKIAL48000006000,TONAL1000136754,1000136754,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/12/2021,Service Only,4/12/2021,4/12/2021,4/12/2021,4/12/2021,4/12/2021,,,,,4/8/2021,,,4/12/2021,,,,,,,Assembly Only,13:00:00 - 17:00:00,GREAT FALLS,VA,22066,39.0066389000,12.9
LMH Indianapolis,LAST MILE HUB INDIANAPOLIS,000005UMCCU5I000006000,000005UMCD010000006000,1000205882-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/6/2021,Service Only,4/6/2021,4/6/2021,4/6/2021,4/6/2021,4/6/2021,,,,,4/6/2021,,,4/6/2021,2,,,,,,Assembly Only,10:00:00 - 14:00:00,GREENFIELD,IN,46140,39.7893819000,18.66
LMH Greenville,LAST MILE HUB GREENVILLE,000005M4LCJAM000002000,000005M4LCLGU000004000,TONAL1000118147,1000118147,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/8/2021,Service Only,2/8/2021,2/8/2021,2/8/2021,2/8/2021,2/8/2021,,,,,2/10/2021,,,2/8/2021,,,,,,,Assembly Only,14:00:00 - 18:00:00,GREENVILLE,SC,29617,34.9137548000,26.06
LMH Greenville,LAST MILE HUB GREENVILLE,000005QBC0PV8000002000,000005QBC0S2E000002000,1000191416-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,3/24/2021,3/24/2021,,,,,3/8/2021,,,3/24/2021,3,,,,"Out of Time Window,",,Relocation - Pick Up,09:00:00 - 13:00:00,GREENVILLE,SC,29605,34.8315357000,21.7
LMH Greenville,LAST MILE HUB GREENVILLE,000005QBC8BHU000006000,000005QBC8DDC000006000,1000191416-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,3/24/2021,3/24/2021,,,,,3/8/2021,,,3/24/2021,3,,,,"Out of Time Window,",,Relocation - Delivery with Installation 0-50 miles,09:00:00 - 13:00:00,GREENVILLE,SC,29615,34.8378790000,11.8
LMH Pensacola,LAST MILE HUB PENSACOLA,000006124Q4NK000002000,000006124QEQK000006000,1000097554-WO,n/a,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,4/26/2021,4/26/2021,4/26/2021,4/27/2021,4/27/2021,0,0,4/14/2021,4/14/2021,4/26/2021,4/23/2021,4/14/2021,4/26/2021,2,,,,"Out of Time Window,",,Service Call,16:00:00 - 20:00:00,GULF BREEZE,FL,32563,30.4042345000,27
LMH Union City,LAST MILE HUB UNION CITY,000005O879PTO000004000,000005O879S9I000004000,1000181702-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/22/2021,Service Only,3/22/2021,3/22/2021,3/22/2021,3/22/2021,3/22/2021,,,,,2/20/2021,,,3/22/2021,2,,,,,,Assembly Only,11:00:00 - 15:00:00,HALF MOON BAY,CA,94019,37.4597792000,31.95
LMH Boston,LAST MILE HUB BOSTON,000005LVM9D10000004000,000005LVM9FKM000002000,TONAL1000095714-WO,1000095714,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/15/2021,Service Only,2/15/2021,2/15/2021,2/15/2021,2/15/2021,2/15/2021,,,,,,,,2/15/2021,,,Weather,,"Out of Time Window,",,Service Call,10:00:00 - 14:00:00,HANOVER,NH,03755,43.7065361000,155.82
LMH Baltimore,LAST MILE HUB BALTIMORE,000005RA0VHJS000004000,000005RA0VJDI000004000,TONAL1000148271,1000148271,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/12/2021,Service Only,3/12/2021,3/12/2021,3/12/2021,3/19/2021,3/12/2021,,,,,3/12/2021,,,3/12/2021,,,,,"Cannot Perform Stop,",,Wall to Wall Relocation,17:00:00 - 21:00:00,HARWOOD,MD,20776,38.8493380000,33.4
LMH Baltimore,LAST MILE HUB BALTIMORE,000005RA0VHJS000004000,000005RSI10R2000004000,TONAL1000148271,1000148271,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/19/2021,Service Only,3/18/2021,3/19/2021,3/19/2021,3/19/2021,3/19/2021,,,,,3/18/2021,,,3/19/2021,1,,,,,,Wall to Wall Relocation,12:00:00 - 16:00:00,HARWOOD,MD,20776,38.8493380000,33.4
LMH Union City,LAST MILE HUB UNION CITY,000005MP3PP3Q000002000,000005MP3PRAS000002000,TONAL1000138924,1000138924,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/12/2021,Service Only,2/12/2021,2/12/2021,2/12/2021,2/12/2021,2/12/2021,,,,,2/12/2021,,,2/12/2021,3,,,,,,Assembly Only,09:00:00 - 13:00:00,HAYWARD,CA,94545,37.6586436000,7.74
LMH Billings,LAST MILE HUB BILLINGS,000005P1A32SE000006000,000005P1A34M0000002000,TONAL1000118005,1000118005,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/25/2021,Service Only,2/25/2021,2/25/2021,2/25/2021,2/25/2021,2/25/2021,,,,,,,,2/25/2021,,,,,,,No Charge Service Call,15:00:00 - 19:00:00,HELENA,MT,59602,46.7111540000,251.45
LMH Las Vegas,LAST MILE HUB LAS VEGAS,000005QLN7AIC000002000,000005QLN7CO0000002000,1000192067-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/10/2021,Service Only,3/12/2021,3/10/2021,3/10/2021,3/22/2021,3/10/2021,,,,,3/12/2021,,,3/10/2021,2,,,,"Cannot Perform Stop,",,Assembly Only,13:00:00 - 17:00:00,HENDERSON,NV,89044,35.9304268000,31.68
LMH Las Vegas,LAST MILE HUB LAS VEGAS,000005QLN7AIC000002000,000005RJ9BTQS000004000,1000192067-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/22/2021,Service Only,3/22/2021,3/22/2021,3/22/2021,3/22/2021,3/22/2021,,,,,3/15/2021,,,3/22/2021,3,,,,,,Assembly Only,08:00:00 - 12:00:00,HENDERSON,NV,89044,35.9304268000,31.68
LMH Salt Lake City,LAST MILE HUB SALT LAKE CITY,000005S97LQNS000002000,000005S97LSHA000004000,1000193195-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/23/2021,3/23/2021,3/23/2021,3/30/2021,3/24/2021,,,,,3/18/2021,,,3/23/2021,,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Assembly Only,14:00:00 - 18:00:00,HERRIMAN,UT,84096,40.4847167000,23.92
LMH Salt Lake City,LAST MILE HUB SALT LAKE CITY,000005S97LQNS000002000,000005TLEH8QM000002000,1000193195-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/30/2021,Service Only,3/30/2021,3/30/2021,3/30/2021,3/30/2021,3/30/2021,,,,,3/29/2021,,,3/30/2021,2,,,,,,Assembly Only,12:00:00 - 16:00:00,HERRIMAN,UT,84096,40.4847167000,23.92
LMH Chicago,LAST MILE HUB CHICAGO,000005TQOCEBA000004000,000005TQOCIC2000002000,1000184277-relocation,n/a,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/2/2021,Service Only,4/1/2021,4/2/2021,4/2/2021,4/2/2021,4/2/2021,,,,,,,,4/2/2021,,,,,"Out of Time Window,",,Service Call,12:00:00 - 16:00:00,HEYWORTH,IL,61745,40.3471840000,124.13
LMH Portland,LAST MILE HUB PORTLAND,000005R54STPS000004000,000005R54SVJK000006000,1000184277-relocatio,,2/4/2021,Void,Cancelled,Cancelled,Not Ready to Schedule,Not Applicable,Hard Hold,3/26/2021,Service Only,4/1/2021,4/1/2021,4/1/2021,,,,,,,,,,4/1/2021,,,,,,,Assembly Only,07:00:00 - 22:00:00,HEYWORTH,IL,61745,40.3471840000,2113.48
LMH Salt Lake City,LAST MILE HUB SALT LAKE CITY,0000060Q7QSPA000004000,0000060Q7QUQO000004000,1000207607-Relo,,2/4/2021,Open,Open,Ready to Route,Not Ready to Schedule,Not Applicable,Hard Hold,4/12/2021,Service Only,,1/1/1900,,,,,,,,4/15/2021,,,,2,,,,,,Relocation - Pick Up,06:00:00 - 18:00:00,HIGHLAND,UT,84003,40.4434262000,30.11
LMH Savannah,LAST MILE HUB SAVANNAH,000005MO9D4AK000006000,000005MO9DJFO000006000,TONAL1000103739RMA,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/11/2021,Service Only,2/11/2021,2/11/2021,2/11/2021,2/11/2021,2/11/2021,,,,,2/18/2021,,,2/11/2021,,,,,,,Assembly Only,09:00:00 - 13:00:00,HILTON HEAD ISLAND,SC,29928,32.1584652000,42.92
LMH Savannah,LAST MILE HUB SAVANNAH,000005P5JHFG8000002000,000005P5JHH5U000002000,TONAL1000102911,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/8/2021,Service Only,2/25/2021,4/8/2021,4/8/2021,4/8/2021,4/8/2021,,,,,3/4/2021,,,4/8/2021,4,,,,,,Assembly Only,09:00:00 - 13:00:00,HILTON HEAD ISLAND,SC,29926,32.1737980000,41.54
LMH Milwaukee,LAST MILE HUB MILWAUKEE,000005VRRE1D6000004000,000005VRRE2VS000006000,1000212023-Relo,,2/4/2021,Void,Cancelled,Cancelled,Date Scheduled,Not Applicable,No Hold,4/11/2021,Service Only,4/15/2021,4/13/2021,4/13/2021,,,,,,,,,,4/13/2021,,,,,,,Assembly Only,07:00:00 - 22:00:00,HOBART,WI,54115,44.4410891000,128.08
LMH Raleigh,LAST MILE HUB RALEIGH,000005SJNVCJA000004000,000005SJNVEF2000002000,1000188517-relocatio,,2/4/2021,Void,Cancelled,Cancelled,Date Scheduled,Not Applicable,No Hold,3/19/2021,Service Only,4/9/2021,4/9/2021,4/9/2021,,,,,,,3/22/2021,,,4/9/2021,4,,,,,,Relocation - Pick Up,07:00:00 - 22:00:00,HOLLY SPRINGS,NC,27540,35.6662096000,23.41
LMH Miami,LAST MILE HUB MIAMI,000005TC7EDS4000004000,000005TC7ER8U000002000,1000119519-WO,n/a,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/26/2021,Service Only,3/26/2021,3/26/2021,3/26/2021,3/26/2021,3/26/2021,,,,,3/26/2021,,,3/26/2021,1,,,,,,Service Call,09:00:00 - 13:00:00,HOLLYWOOD,FL,33021,26.0449450000,29.23
LMH Los Angeles,LAST MILE HUB LOS ANGELES,000005VP8C0LA000002000,000005VP8C3Q6000006000,1000194906-WO,,2/4/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,4/6/2021,Service Only,4/6/2021,4/6/2021,4/6/2021,4/6/2021,4/6/2021,,,,,,,,4/6/2021,,,,,,,Assembly Only,07:00:00 - 22:00:00,HONOLULU,HI,96821,21.2843910000,
LMH Houston,LAST MILE HUB HOUSTON,000005OSFER3G000004000,000005OSFEST0000004000,1000084827,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/2/2021,Service Only,3/2/2021,3/2/2021,3/2/2021,3/2/2021,3/2/2021,,,,,3/2/2021,,,3/2/2021,5,,,,"Out of Time Window,",,Service Call,12:00:00 - 16:00:00,HOUSTON,TX,77069,29.9863889000,9.46
LMH Houston,LAST MILE HUB HOUSTON,000005TIL45S2000006000,000005TIL47Q8000004000,1000204912-relocatio,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/30/2021,Service Only,3/30/2021,3/30/2021,3/30/2021,3/31/2021,3/30/2021,,,,,3/30/2021,,,3/30/2021,2,,,,"Cannot Perform Stop,",,Repair Service,10:00:00 - 14:00:00,HOUSTON,TX,77007,29.7821124000,15.78
LMH Houston,LAST MILE HUB HOUSTON,000005UVMOTNG000002000,000005UVMOVOA000002000,1000144835-I,,2/4/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/5/2021,Service Only,4/5/2021,4/5/2021,4/5/2021,4/5/2021,4/5/2021,,,,,4/5/2021,,,4/5/2021,,,,,,,Assembly Only,10:00:00 - 14:00:00,HOUSTON,TX,77056,29.7511790000,17.81
LMH Houston,LAST MILE HUB HOUSTON,000005V5P3I5E000002000,000005V5P3JVE000006000,1000204912-relocatio,,2/4/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/2/2021,Service Only,5/4/2021,5/4/2021,5/4/2021,,,,,,,4/13/2021,,,5/4/2021,,,,,,,Service Call,07:00:00 - 22:00:00,HOUSTON,TX,77007,29.7821124000,15.78
LMH Houston,LAST MILE HUB HOUSTON,000005VRPARMQ000004000,000005VRPATQE000004000,1000212908-Relo,,2/4/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/7/2021,Service Only,5/19/2021,5/19/2021,5/19/2021,,,,,,,4/13/2021,,,5/19/2021,1,,,,,,Relocation - Pick Up,07:00:00 - 22:00:00,HOUSTON,TX,77008,29.7890221000,13.08
LMH Houston,LAST MILE HUB HOUSTON,000005VRPHIH0000006000,000005VRPHKSG000002000,1000212908-Relo,,2/5/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/7/2021,Service Only,5/19/2021,5/19/2021,5/19/2021,,,,,,,4/13/2021,,,5/19/2021,1,,,,,,Relocation - Delivery with Installation 0-50 miles,07:00:00 - 22:00:00,HOUSTON,TX,77008,29.7886900000,13.89
LMH Detroit,LAST MILE HUB DETROIT,000005SJPIP1A000006000,000005SJPIR2Q000004000,1000200984-relocatio,,2/5/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,3/17/2021,Service Only,5/11/2021,5/11/2021,5/11/2021,,,,,,,3/23/2021,,,5/11/2021,1,,,,,,Assembly Only,07:00:00 - 22:00:00,HOWELL,MI,48843,42.6296984000,41.35
LMH Los Angeles,LAST MILE HUB LOS ANGELES,000005N2A1CNE000006000,000005N2A1EK2000002000,CON-85219-INS,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/24/2021,Service Only,2/15/2021,2/24/2021,2/24/2021,2/24/2021,2/24/2021,,,,,,,,2/24/2021,,,,,,,Assembly Only,13:00:00 - 17:00:00,HUNTINGTON BEACH,CA,92649,33.7251398000,27.7
LMH Ontario,LAST MILE HUB ONTARIO,000005Q15LVHG000006000,000005Q15M1B8000002000,1000179903-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/9/2021,Service Only,3/9/2021,3/9/2021,3/9/2021,3/9/2021,3/9/2021,,,,,3/9/2021,,,3/9/2021,2,,,,"Out of Time Window,",,Assembly Only,10:00:00 - 14:00:00,HUNTINGTON BEACH,CA,92647,33.7298126000,46.89
LMH Ontario,LAST MILE HUB ONTARIO,000005R553H2E000002000,000005R553RT2000006000,1000187842-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/23/2021,Service Only,3/17/2021,3/23/2021,3/23/2021,3/23/2021,3/23/2021,,,,,3/16/2021,,,3/23/2021,5,,,,,,Assembly Only,10:00:00 - 14:00:00,HUNTINGTON BEACH,CA,92648,33.6593698000,51.91
LMH Houston,LAST MILE HUB HOUSTON,00000636T5GDS000006000,00000636T5I4U000006000,1000225661-Relocatio,,2/5/2021,Open,Open,Ready to Route,Ready to Schedule,Not Applicable,No Hold,4/27/2021,Service Only,,1/1/1900,,,,,,,4/27/2021,5/6/2021,,,,1,,,,,,Assembly Only,,HUNTSVILLE,TX,77320,30.7586820000,65.61
LMH West Palm Beach,LAST MILE HUB WEST PALM BEACH,000005S9735RK000004000,000005S9737LQ000004000,1000199185-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/23/2021,Service Only,3/23/2021,3/23/2021,3/23/2021,3/23/2021,3/23/2021,,,,,3/24/2021,,,3/23/2021,3,,,,"Out of Time Window,",,Relocation - Pick Up,12:00:00 - 16:00:00,INDIAN RIVER SHORES,FL,32963,27.7404899000,81.36
LMH Indianapolis,LAST MILE HUB INDIANAPOLIS,000005VULH642000006000,000005VULH7U0000006000,13376804-WO,n/a,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/13/2021,Service Only,4/13/2021,4/13/2021,4/13/2021,4/13/2021,4/13/2021,5,,4/12/2021,,4/10/2021,4/12/2021,,4/13/2021,0,,,,,,Service Call,08:00:00 - 12:00:00,INDIANAPOLIS,IN,46204,39.7672529000,10.49
LMH Pensacola,LAST MILE HUB PENSACOLA,000005QMJAL7I000002000,000005R3J62D4000002000,TONAL1000127431,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/16/2021,Service Only,3/16/2021,3/16/2021,3/16/2021,3/16/2021,3/16/2021,,,,,,,,3/16/2021,1,,,,,,Assembly Only,10:00:00 - 14:00:00,INLET BEACH,FL,32461,30.2979037000,87.4
LMH Ontario,LAST MILE HUB ONTARIO,000005KD6BS9G000004000,000005MU94EBG000006000,1000152244-Relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/16/2021,Service Only,2/16/2021,2/16/2021,2/16/2021,2/16/2021,2/16/2021,,,,,2/24/2021,,,2/16/2021,5,,,,,,Relocation - Delivery with Installation 0-50 miles,15:00:00 - 19:00:00,IRVINE,CA,92606,33.6846560000,38.03
LMH Ontario,LAST MILE HUB ONTARIO,000005M5CMNSA000002000,000005M5CMPMM000006000,1000157773-RELOCATIO,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/17/2021,Service Only,2/17/2021,2/17/2021,2/17/2021,3/17/2021,2/17/2021,,,,,2/10/2021,,,2/17/2021,5,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Relocation - Pick Up,10:00:00 - 14:00:00,IRVINE,CA,92602,33.7385365000,33.63
LMH Ontario,LAST MILE HUB ONTARIO,000005M5CMNSA000002000,000005O34BFUK000004000,1000157773-RELOCATIO,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/24/2021,Service Only,3/1/2021,2/24/2021,2/24/2021,3/17/2021,2/24/2021,,,,,3/1/2021,,,2/24/2021,2,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Relocation - Pick Up,13:00:00 - 17:00:00,IRVINE,CA,92602,33.7385365000,33.63
LMH Ontario,LAST MILE HUB ONTARIO,000005M5CMNSA000002000,000005PBBPQBC000006000,1000157773-RELOCATIO,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/17/2021,Service Only,3/10/2021,3/10/2021,3/10/2021,3/17/2021,3/17/2021,,,,,3/10/2021,,,3/10/2021,3,,,,"Out of Time Window,",,Relocation - Pick Up,09:00:00 - 13:00:00,IRVINE,CA,92602,33.7385365000,
LMH Ontario,LAST MILE HUB ONTARIO,000005SJPDLD4000006000,000005SJPDNJG000006000,1000200794-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/22/2021,Service Only,3/22/2021,3/22/2021,3/22/2021,3/31/2021,3/22/2021,,,,,3/22/2021,,,3/22/2021,1,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Assembly Only,10:00:00 - 14:00:00,IRVINE,CA,92612,33.6672566000,39.33
LMH Ontario,LAST MILE HUB ONTARIO,000005SJPDLD4000006000,000005TCLF04O000006000,1000200794-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/31/2021,Service Only,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,,,,3/31/2021,,,3/31/2021,2,,,,,,Assembly Only,09:00:00 - 13:00:00,IRVINE,CA,92612,33.6672566000,39.33
LMH Ontario,LAST MILE HUB ONTARIO,000005TCU4RAO000002000,000005TCU4TPG000004000,1000204156-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/5/2021,Service Only,3/29/2021,4/5/2021,4/5/2021,4/5/2021,4/5/2021,,,,,3/29/2021,,,4/5/2021,2,,,,,,Assembly Only,09:00:00 - 13:00:00,IRVINE,CA,92618,33.6875446000,37.83
LMH Ontario,LAST MILE HUB ONTARIO,000005V46I85U000004000,000005V46IABI000006000,1000200794-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/5/2021,Service Only,4/5/2021,4/5/2021,4/5/2021,4/5/2021,4/5/2021,,,,,4/12/2021,,,4/5/2021,,,,,,,Assembly Only,11:00:00 - 15:00:00,IRVINE,CA,92612,33.6672566000,39.33
LMH Dallas,LAST MILE HUB DALLAS,000005STNMPBE000006000,000005STNMRFC000004000,1000202750-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,3/24/2021,3/24/2021,,,,,3/24/2021,,,3/24/2021,2,,,,,,Wall to Wall Relocation,09:00:00 - 13:00:00,IRVING,TX,75061,32.8195774000,14.31
LMH Dallas,LAST MILE HUB DALLAS,000006019K2DU000006000,000006019K4E4000004000,1000213427.relo,,2/5/2021,Open,Open,Routed,Date Scheduled,Not Applicable,No Hold,4/28/2021,Service Only,4/26/2021,4/30/2021,4/30/2021,,,18,18,4/26/2021,4/26/2021,4/12/2021,4/26/2021,4/26/2021,4/30/2021,2,,,,,,Assembly Only,07:00:00 - 22:00:00,IRVING,TX,75039,32.8727122000,22.83
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005N9EJ28G000006000,000005N9EJ4EI000006000,1000150820-relocatio,,2/5/2021,Void,Cancelled,Cancelled,Ready to Schedule,Not Applicable,No Hold,2/13/2021,Service Only,,1/1/1900,,,,,,,,2/17/2021,,,,,,,,,,Assembly Only,06:00:00 - 18:00:00,JACKSONVILLE,FL,32202,30.3247059000,14.4
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005NECIQ6Q000002000,000005NECIS7O000002000,1000150820-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/2/2021,Service Only,3/2/2021,3/2/2021,3/2/2021,3/2/2021,3/2/2021,,,,,2/17/2021,,,3/2/2021,,,,,,,Relocation - Delivery with Installation 0-50 miles,09:00:00 - 13:00:00,JACKSONVILLE,FL,32202,30.3247059000,14.4
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005SQEJJPQ000004000,000005SQEJLO0000006000,1000151856-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,4/5/2021,3/24/2021,,,,,3/24/2021,,,3/24/2021,2,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Wall to Wall Relocation,08:00:00 - 12:00:00,JACKSONVILLE,FL,32204,30.3122986000,15.08
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005SQEJJPQ000004000,000005TQLV06O000006000,1000151856-relocatio,,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/5/2021,Service Only,4/5/2021,4/5/2021,4/5/2021,4/5/2021,4/5/2021,,,,,4/7/2021,,,4/5/2021,1,,,,"Out of Time Window,",,Wall to Wall Relocation,08:00:00 - 12:00:00,JACKSONVILLE,FL,32204,30.3122986000,15.08
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005TC2JB9C000004000,000005TC2JDHS000006000,TONAL1000106982,-,2/5/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,4/12/2021,3/24/2021,,,,,4/7/2021,,,3/24/2021,,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Assembly Only,09:00:00 - 13:00:00,JACKSONVILLE,FL,32250,30.2652020000,26.8
